id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
320268,Html.ActionLink doesn’t render # properly,"<p>When using Html.ActionLink passing a string containing the # char renders it like it is but if you UrlEncode it renders as %2523.</p>

<p>I believe it's a bug. MVC Beta Release.</p>

<p>Is it really a bug?</p>

<p><a href=""http://example.com/test#"" rel=""nofollow noreferrer"">http://example.com/test#</a> is rendered as </p>

<p><a href=""http://example.com/test%2523"" rel=""nofollow noreferrer"">http://examplee.com/test%2523</a> instead of </p>

<p><a href=""http://examplee.com/test%2523"" rel=""nofollow noreferrer"">http://examplee.com/test%2523</a></p>",,0,0,,2008. 11. 26 오전 10:42:37,0,2009. 2. 6 오후 8:13:54,,,,Paulo,,,1,0,asp.net-mvc,390
324003,Primitive recursion,"<p>how  will i define the function 'simplify' using primitive recursion?</p>

<p>simplify :: Expr -> Expr<br>
    ...  </p>

<p>simplify 
Simplify an expression using basic arithmetic, e.g. 
    simplify (Plus (Var ""x"") (Const 0)) = Var ""x"" </p>",,0,0,,2008. 11. 27 오후 3:12:37,0,2012. 9. 25 오후 7:54:41,2012. 9. 25 오후 7:54:41,Marcin,1288,,41000,,1,0,haskell|lambda|functional-programming|lambda-calculus,497
390605,While vs. Do While,"<p>I've seen both the blocks of code in use several different times, personally I have always used the first but my question is: is there a functional difference, and if there is what is it?<br /></p>

<pre><code>while (condition is true ) {
    // do something
}

do {
    // do something
} while ( condition is true);
</code></pre>

<p>I will be applying this to PHP but I assume this is fairly language agnostic.</p>",390608,0,0,,2008. 12. 24 오전 1:49:54,2,2008. 12. 24 오전 3:08:56,,,,Unkwntech,115,,1,0,language-agnostic|loops,11262
413246,Protect ASP.NET Source code,"<p>Im currently doing some research in how to best protect my source code so that no external parties can view and use my code.</p>

<p>From browsing the web a few ideas have come to mind i.e</p>

<p>1) Publish website into a DLL</p>

<p>2) Code obfuscator</p>

<p>3) 3rd Party</p>

<p>But none i find are really explained that well or shown in detail how to achieve this. Anyone here who could shed some more light on this topic ?</p>

<p>Thanks in advance</p>",,0,0,,2009. 1. 5 오후 2:23:51,0,2009. 3. 24 오후 9:30:22,2009. 1. 5 오후 2:42:28,Tom Anderson,13502,Velnias,,,1,0,asp.net|deployment|obfuscation,4823
454921,"Difference between ""int[] myArray"" and ""int myArray[]"" in Java","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/129178/difference-between-int-array-and-int-array"">Difference between int[] array and int array[]</a>  </p>
</blockquote>



<p>I've wondered for a long time whether or not there is a difference between the following:</p>

<pre><code>int[] myArray;
</code></pre>

<p>and,</p>

<pre><code>int myArray[];
</code></pre>",454928,0,0,,2009. 1. 18 오전 10:22:52,0,2009. 1. 18 오전 10:30:51,2017. 5. 23 오전 11:49:27,,-1,Evan Fosmark,49701,,1,0,java|arrays,798
587584,What is the preferred way to declare a Java array?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/129178/difference-between-int-array-and-int-array"">Difference between int[] array and int array[]</a>  </p>
</blockquote>



<p>What is the difference between these two declarations of an array of native types in Java?</p>

<pre><code>double items[] = new double[10];

double[] items = new double[10];
</code></pre>

<p>If they are the same is there any reason to prefer one over the other?</p>",587594,0,0,,2009. 2. 25 오후 7:57:23,0,2009. 2. 25 오후 11:37:23,2017. 5. 23 오후 12:20:37,Eddie,-1,Simon,24039,,1,0,java|arrays|declaration,627
597572,How do I create a windows service with Python,<p>I really need my python program to run as a windows service. How can I do this?</p>,,0,0,,2009. 2. 28 오전 5:47:08,0,2020. 10. 14 오전 6:15:14,2020. 10. 14 오전 6:15:14,eliben,100297,minty,4491,,1,0,python|windows|service,3526
612711,Best C# Profiler?,"<p>Recently I used RedGate ANTS profiler which seems pretty good, but the application I tried to profile was crashing due to DivideByException, where as running in inside Visual Studio was fine for both debug and release.</p>

<p>Are there other/better C# profilers that you know of?</p>",,0,0,,2009. 3. 4 오후 10:16:02,2,2013. 1. 14 오후 9:17:04,2010. 1. 25 오후 3:15:52,Gortok,164901,Joan Venge,51816,,1,0,c#|.net|performance|profiler,20905
651291,Securing a .NET Application,"<h3>Duplicate:</h3>
<blockquote>
<p><a href=""https://stackoverflow.com/questions/506282/protect-net-code-from-reverse-engineering/"">Protecting .NET Code from Reverse Engineering</a></p>
</blockquote>
<p>We've recently released a small application and this weekend I found a cracked version of it on <code>Piratebay</code> that had the registration checking removed, so the app ran as if it was a registered version.</p>
<p>Apart from using a code obfuscation tool (which doesn't seem to be that hard to get around), are there any standard things we should be doing to make our .NET applications more difficult to crack?</p>",651375,0,0,,2009. 3. 16 오후 5:07:24,1,2010. 6. 9 오후 4:17:13,2020. 6. 20 오전 9:12:55,Rich B,-1,beakersoft,19638,,1,0,.net|security|obfuscation|reverse-engineering,6042
665430,"Disable ""Back"" & ""Refresh"" Button in Browser","<p>I am doing web development. 
I have a page to do with credit card, which when user click ""refresh"" or ""Back"", the transaction will be performed one more time, which is unwanted.
This include Browser top left ""Back"" &amp; ""Refresh"" button, ""right click->Refresh/Back"", press ""F5"" key.
This is to be done on certain cgi page only, not all of them.
Can this be done using Javascript? Or any other method?</p>

<p>Thanks,
sytee</p>

<p><strong>exact duplicate</strong>: <a href=""https://stackoverflow.com/questions/665399"">How do I stop the Back and Refresh buttons from resubmitting my form?</a></p>",,0,0,,2009. 3. 20 오전 9:13:32,0,2009. 3. 20 오전 9:21:19,2017. 5. 23 오후 12:01:24,vartec,-1,sytee,,,1,0,javascript|browser|double-submit-prevention,4525
668384,WPF: XAML Custom Namespace,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/669560/wpf-xaml-custom-namespace"">WPF: XAML Custom Namespace</a>  </p>
</blockquote>



<p>Okay so I have a Window in WPF. I add the following line inside of it:</p>

<pre><code>xmlns:controls=""clr-namespace:mCubed.Controls""
</code></pre>

<p>This compiles and runs just fine, but the Visual Studio designer gives me this error:</p>

<blockquote>
  <p>Could not load file or assembly 'mCubed, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null' or one of its dependencies. The system cannot find the file specified.</p>
</blockquote>

<p>When I remove this line from the Window, it compiles and runs just fine and the Visual Studio designer works like a charm!</p>

<p>I'm confused as to why that one line breaks the designer? This occurs <strong><em>REGARDLESS</em></strong> if I have put the following line in the body of the XAML document.</p>

<pre><code>&lt;controls:MyControl/&gt;
</code></pre>",,0,0,,2009. 3. 20 오후 11:47:46,0,2009. 7. 25 오후 8:39:46,2017. 5. 23 오전 9:57:51,,-1,,23939,,1,0,c#|wpf|xaml|namespaces,938
1138436,Can i regenerate my own session id in servlet?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/1163319/java-secure-session"">Java secure session</a>  </p>
</blockquote>



<p>I know once you run yor jsf application the server will generate a session id, But how can i do like once the user login to the system then regenerate the session id ? Can i do this?</p>",,0,0,,2009. 7. 16 오후 3:30:05,0,2009. 7. 21 오전 12:17:19,2017. 5. 23 오후 12:26:44,,-1,Hoe Chin,,,1,0,session|jakarta-ee,514
1304738,Wait in console,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/4908495/pausing-a-batch-file-for-amount-of-time"">Pausing a batch file for amount of time</a>  </p>
</blockquote>



<p>How I can make wait x sec in console (cmd), without ""timeout"" command?</p>",,0,1,,2009. 8. 20 오전 8:23:39,0,2011. 7. 24 오전 10:46:29,2017. 5. 23 오후 12:26:44,user95644,-1,user95644,,,1,0,console|time-wait,250
269520,Emacs and cygwin,"<p>How can I change my GNUemacs to open up a cygwin terminal rather then a cmd one with the shell command?</p>

<blockquote>
  <p><strong>Closed</strong> as duplicate of  <a href=""https://stackoverflow.com/questions/235254/how-can-i-run-cygwin-bash-shell-from-within-emacs"">How can I run Cygwin Bash Shell from within Emacs?</a>.</p>
</blockquote>",,0,1,,2008. 11. 6 오후 5:24:57,,2008. 11. 6 오후 6:20:49,2017. 5. 23 오전 11:55:43,Blair Conrad,-1,kanja,26880,,1,1,windows|shell|emacs|cygwin|cmd,1271
293975,How to detect drag operation at windows global scope?,"<p>When I drag a folder at the edge of the screen in Windows XP, it becomes a toolbar containing the files in the folder.<p></p>

<p>How can windows detect there is a drag operation?</p>

<p>If I want to write an application to detect drag operation in system scope, how can I do this?</p>

<p>And another problem: how can I disable this Windows XP function, it is really annoying.</p>",,0,1,,2008. 11. 16 오후 3:19:14,,2016. 1. 29 오전 9:14:18,2016. 1. 29 오전 9:14:18,philippe,5318465,,25749,,1,1,windows|drag-and-drop|mouse|hook,812
382800,ADO.NET Entity : limiting data selection based on View,"<p>Consider following example:</p>

<p>SQL Table Customer:</p>

<pre><code>ID: Primary Key
Name: Name
</code></pre>

<p>SQL View ViewCustomerSelection:</p>

<pre><code>ID: Link to Customer ID
SomeOption: Not important
</code></pre>

<p>I'd like to create ADO.NET an entity that only selects customers that have corresponding values in ViewCustomerSelection</p>

<p>Following does NOT work:</p>

<ul>
<li>Create entity that maps to Customer and to ViewCustomerSelection without using any conditions and any fields from ViewCustomerSelection : ViewCustomerSelection is not included in SQL and all customers are returned.</li>
<li>Include a field from ViewCustomerSelection : Correct selection is returned but now Customer object is not updateable </li>
<li>Specify ""not null"" condition on SomeOption field : error - ""Property ViewCustomerSelection.SomeOption with 'IsNull=false' condition must be mapped.</li>
<li>Specify ""not null"" condition on ViewCustomerSelection.ID field : error - ""Entity type contains a condition on its primary key. Please remove the condition from the mapping.</li>
</ul>

<p>Clarification </p>

<p>Database definition:</p>

<pre><code>create table Customer {
    ID [int] IDENTITY(1,1) NOT NULL,
    Name [varchar](50) NOT NULL
} CONSTRAINT [PK_Customer] PRIMARY KEY CLUSTERED 
(
    [ID] ASC
)

create table ViewCustomerSelection
as select customer.id, ToUpper(customer.name) as SomeOption where customer.name like 'A%'
</code></pre>

<p>I'd like to have entity Customer with ID and name, that only has records for records present in ViewCustomerSelection (note - in actuality the view is more complicated and can not be expressed using simple conditions)</p>",,0,2,,2008. 12. 20 오전 2:35:57,,2018. 5. 6 오후 6:05:16,2018. 5. 6 오후 6:05:16,,305953,,44838,,1,1,.net|ado.net-entity-data-model,545
387595,SQL CE insert fails until I view the table,"<p>I am noticing something strange happening. I'm porting an application to work with Sql Server CE 3.5, and finding something strange happening.</p>

<p>What I'm seeing is that an insert will fail (violating the primary key constraint), and will keep failing until I use Visual Studios Server Explorer and open the table with the Show Data function.</p>

<p>Whether it's parameterized <code>SQL</code> filling in all columns (except primary key) in my code, or even running ""INSERT INTO SecurityUser (UserName) VALUES ('ch00k')"" from server explorer, it's always a primary key constraint (in this case the primary key is SecurityUserID, and I have double checked that it is an auto increment field), and it always works (and keeps working) once I've opened the table in visual studio.</p>

<p>Has anyone come across anything like this before? Or is there some extra bit of <code>SQL</code> I should be running when I create the table, to get the primary key to work? The create table code has just been ported straight from Sql Server 2005 code, and runs without error.</p>",,0,0,,2008. 12. 22 오후 10:33:29,,2016. 9. 8 오후 5:52:29,2016. 9. 8 오후 5:52:29,,2687790,Ch00k,489,,1,1,sql-server-ce,495
525490,open file select dialog with javascript,"<p>I have hidden input type=file field, and i want to open its select dialog with javascript. I tried to fire click event on this element, but without luck.</p>

<p>Im using mootools.</p>

<pre><code>$('input_id').fireEvent('click');
</code></pre>

<p>This is possible at all?</p>",,0,0,,2009. 2. 8 오전 10:15:22,0,2009. 2. 8 오전 10:19:13,,,,,20955,,1,1,javascript|mootools,7881
531116,How to run jar application from window service registry?,"<p><strong>DUPE: <a href=""https://stackoverflow.com/questions/68113/how-to-create-a-windows-service-from-java-app"">How to create a windows service from java app</a></strong></p>

<p>I have developed a Java jar application which processes input file and converts into csv file. Now my requirement is to run that jar application fom windows service. I have no idea of how to do that.</p>

<p>How can I make a Java application into a Windows service?</p>",,0,0,,2009. 2. 10 오전 5:07:50,,2009. 2. 10 오전 7:00:51,2017. 5. 23 오전 11:48:38,Rich B,-1,raja,51659,,1,1,java,2501
584806,3 dimension GiS data with django and postgis,"<p>I could use a third dimension in my current project, which strongly involves google-maps and django.  How do I deal with this?</p>

<pre><code>class Waypoint(models.Model):
    latlng = models.PointField()

&gt;&gt;&gt; p = Point( 5, 10, 20)
&lt;Point object at Ox...&gt;
&gt;&gt;&gt; p.kml
'&lt;Point&gt;&lt;coordinates&gt;5.0,10.0,20.0&lt;/coordinates&gt;&lt;/Point&gt;'
&gt;&gt;&gt; w = Waypoint.objects.all()[0]
&lt;Waypoint: Waypoint object&gt;
&gt;&gt;&gt; w.latlng = p
&gt;&gt;&gt; w.latlng.kml
'&lt;Point&gt;&lt;coordinates&gt;5.0,10.0,20.0&lt;/coordinates&gt;&lt;/Point&gt;'
&gt;&gt;&gt; w.save()
&gt;&gt;&gt; w = Waypoint.objects.all()[0]
&lt;Waypoint: Waypoint object&gt;
&gt;&gt;&gt; w.latlng.kml
'&lt;Point&gt;&lt;coordinates&gt;5.0,10.0,0&lt;/coordinates&gt;&lt;/Point&gt;'
                              ^
</code></pre>

<p>Note third diemsnion is ignored.   GRRR!</p>",,0,0,,2009. 2. 25 오전 5:27:21,,2009. 7. 9 오후 11:20:33,2009. 2. 25 오전 6:40:10,,65696,,65696,,1,1,3d|postgis|geodjango,1341
594297,"dll ""drop in"" architecture using Castle Windsor & MicroKernel","<p>I'd like to create a framework that uses IoC without needing any configuration:</p>

<p>So instead of (adjusted from <a href=""http://www.castleproject.org/container/gettingstarted/part1/code.html"" rel=""nofollow noreferrer"">http://www.castleproject.org/container/gettingstarted/part1/code.html</a>):</p>

<pre><code>IWindsorContainer container = new WindsorContainer();
container.AddComponent(""someinterface"", typeof(ISomeInterface));
ISomeInterface component = (ISomeInterface) container[typeof(ISomeInterface)];
component.DoIt();
container.Release(component);
</code></pre>

<p>The <code>container.AddComponent</code> method would not need to be called, as there would have been some initial step that did some 'auto wiring' by looking in a known directory for any dlls containing classes that implemented ISomeComponent and registered them with the WindsorContainer.</p>

<p>I can see that this would be possible to do from scratch, but ideally I'd like not to rewrite this code if there is an open source project out there that has already done it!</p>",,0,5,,2009. 2. 27 오전 10:53:08,,2012. 7. 25 오후 7:39:29,2012. 7. 25 오후 7:39:29,,918414,thatismatt,27782,,1,1,c#|plugins|inversion-of-control|castle-windsor|microkernel,692
