,id,title,content,status,lecture_name,lecture_slide,postDate,tag,subject,user_id
0,2,Relational Data Model에서 schema 기술 관련 문의드립니다. (강의자료 : Lecture 2 Relational Model 中 p.9),"해당 페이지 하단에 제시된 표(4개 중 좌측 2개)들의 schema를 기술한다면, 아래와 같이 표현되는 것이 맞나요?  (Primary Key는 슬라이드 상에 표현되어 있지 않아 따로 밑줄표시를 하지 않음)  ▶ College (Cid:integer, Cname:varchar(30))    Dept(Did:integer, Cid:integer, Dname:varchar(30))  아니면 제시된 표(4개)들은 이미 그 자체로 schema이고 table로는 볼 수 없나요?   해당 표에 column name과 datatype만 포함되어 있고, 값이나 속성이 따로 표현되어 있지 않은 것 같아서 여쭤봅니다!",posted,Lecture 2: Relational Model,9,2023. 3. 9 오후 6:48:00,DB Design,1,
1,4,3월9일수업_Denormalization 관련 질문,"강의 자료 토대로 공부하다가 잘 모르겠는 사항이 생겨서 글 올리게 되었습니다.  Normalization을 진행한 database는 read performance가 증가하고, write performance는 감소한다고 되어있는데  read performance 또한 감소할 것 같다는 의문이 듭니다.  정규화를 진행한 database는 자료 검색 시간이 더 증가할 것 같다는 생각이 드는데   그냥 read performance는 증가하고 write performance는 감소한다고 알고 있어도 무방한가요?",posted,Lecture 1: Course Introduction,1,2023. 3. 9 오후 11:30:00,DB Design,1,
2,8,Entity-Relationship Diagram 관련 질문 드립니다.,"교수님 안녕하세요. 3월 9일 수업 중 Entity-Relationship Diagram 관련하여 질문 드립니다.서로 다른 유형의 두 Entity 사이의 Relationship은 diamond형으로 표기하고, 두 Entity 사이에서 선으로 이어주는 것은 이해했습니다. (Lecture #3의 8 페이지)그렇다면 만약 한 Entity 안의 row들끼리의 Relationship 표기는 어떻게 할 수 있는지 궁금합니다.예를 들어, Lecture #3의 8 페이지에서 Student간 2인 1조의 그룹을 나타내는 'Group'이라는 Relationship을 만들고자 한다면.Column은 [Gid(Group id), Sid1, Sid2]로 구성될 수가 있는 것인가요?만약 이것이 가능하다면 ER Diagram으로는 어떻게 표현되나요?혹은, 위 방법보다는 차라리 'Student' Entity에 'Group'이라는 Attribute를 추가하는 것이 깔끔할까요?답변 부탁드립니다. 감사합니다!",posted,Lecture 3: Database Design,8,2023. 3. 10 오전 10:09:00,DB Design,1,
3,9,3/9 수업 Candidate key 관련 질문,"안녕하세요 교수님, GSDS 2023-22378 김도윤입니다. candidate key와 primary key의 정확한 차이를 이해하지 못해 질문 드립니다. candidate key-해당 column 하나로 모든 data를 구분할 수 있는가Primary key-candidate key의 성질과 동일함-추가적인 것은, 다른 table과의 link를 위해 사용된다는 것위의 표가 제가 이해한 내용입니다. 만약 이게 맞다면, 3/9수업의 슬라이드 21쪽을 봤을 때1) 질문 1Candidate Key : {Cid, Class_number}라고 표시한 것은, 둘을 묶으면 non-candidate key가 dependent하지만 결과적으로 다른table과의 link에는 관여하지 않기 때문에primary key가 되지 않은 것 맞을까요?2) 질문2또한 key가 candidate key의 줄임말이라고 보는 게 맞을까요?질문 1과 질문2에 대한 답이 궁금합니다. 이가 해결되어야 정확한 이해가 가능할 것 같습니다!감사합니다 :)",posted,Lecture 3: Database Design,21,2023. 3. 10 오전 10:17:00,DB Design,1,
4,12,"Transaction, Query 관련 질문(Lecture1)","안녕하세요, 교수님.Lecture1 내용 중 transaction과 query에 대해 궁금한 사항이 있어 질문 드립니다.query가 DB 정보를 가져오거나 수정하기 위한 요청이고,database transaction이 데이터 수정, 삭제, 조회 등의 작업이라고 말씀 주셨는데,사용자가 특정 작업을 요청하는 것이 query이고, 그 query에 따라 DBMS에서 실행되는 단위 작업들을 transaction으로 이해해도 무방할까요?그게 아니라면, query와 transaction의 관계를 어떻게 이해하면 좋을지 설명 부탁드립니다!감사합니다.김주희 드림.",posted,Lecture 1: Course Introduction,1,2023. 3. 10 오후 1:35:00,DB Design,1,
5,14,Lecture 3 23쪽 질문입니다.,"23쪽의 Final Normalized Database의 경우 ER diagram을 어떻게 그릴 수 있나요?특히 Course_class에 대해서먼저 Entity인지 Relationship인지 헷갈리고,PK인 {Cid, Class_number}를 어떻게 그려야하는지에서 막히고 있는 것 같습니다.감사합니다.",posted,Lecture 3: Database Design,23,2023. 3. 10 오후 3:45:00,DB Design,1,
6,16,PostgreSQL 인스톨 문제 관련 해결법 공유드립니다.,PostgreSQL을 다운로드하던 중 문제가 발생하여 해결 방법을 공유드립니다.PDF에 적혀있는 링크에서 Installer 다운 후 실행 시 아래와 같은 문제가 발생할 수 있습니다.해당 문제 발생 시 다음의 방법으로 해결 가능합니다.CMD 창에서 net user administrator /active:yes 를 입력합니다.1-1) 시스템 오류 5가 발생한다면 관리자 권한으로 실행합니다.1-2) 암호가 암호 정책 요구 사항에 맞지 않는다면 다음의 과정을 거칩니다.        1-2-1) Window + R > compmgmt.msc 실행        1-2-2) 시스템 도구 > 로컬 사용자 및 그룹 > 사용자 > administrator 우클릭 > 암호설정 > 암호 입력 후 확인        1-2-3) administrator 우클릭 > 속성 > 계정 사용 안 함 체크 해제 > 확인CMD 창에 net user administrator * 을 입력하여 암호를 설정해 줍니다.runas /user:administrator C:\Users\Aseok\Downloads\postgresql-12.14-1-windows-x64.exe(다운받은 파일 경로)를 통해 다운로드 해줍니다.(runas는 일반 계정으로 로그인 후 권한상승을 해서 관리자 작업을 할 수 있게 해주는 명령어입니다.)혹은 Administrator 계정으로 접속한 후 다운로드 하는 방법도 있습니다. 저는 위 방법으로 해결했는데 다른 분들께도 적용될지는 모르겠습니다. 혹시나 도움이 될까 해서 공유드립니다.감사합니다.,posted,Lecture 1: Course Introduction,1,2023.03.10 16:35,PostgreSQL,1,
7,17,dbeaver에서 file import 질문입니다!,dbeaver에서 csv 파일을 가져올때 다음과 같은 오류가 발생합니다!혹시 무엇이 문제인지 아실 수 있으실까요? ㅠㅠ,posted,Lecture 1: Course Introduction,1,2023. 3. 11 오후 5:17:00,DBeaver,1,
8,19,(Lecture 2) superkey와 composite key의 차이,"강의를 통해,  superkey가 set of columns라는 것을 이해했습니다. 적어도 그 중 하나는 key입니다.Composite key는 또한 row를 고유하게 식별하는 set of columns입니다. 하지만 각각의 column가 key일 필요는 없습니다.그러므로,  모든 superkey은 composite key이지만, 모든 composite key은 superkey가 아니라고 말할 수 있을까요?감사합니다.리타 드림.",posted,Lecture 1: Course Introduction,1,2023. 3. 12 오후 6:32:00,DB Design,1,
9,21,3/9수업 ERD on Relational 관련 질문,"안녕하세요 교수님, 복습을 하다가 궁금증이 생겨 질문 드립니다. entity 와 entity는 서로 relationship없이 join될 수 있나요? 교재에서 이렇게 표현하고 있는데 이게 필수인지 충분조건인지 알고싶습니다. relationship은 participating entity key 이외에 다른 relational attribute(descriptive attribute)를 가지지 않을 수도 있나요? 굳이 필요가 없을 수도 있을 거 같아서 여쭤봅니다. ",posted,Lecture 1: Course Introduction,1,2023. 3. 13 오후 6:28:00,DB Design,1,
