,id,title,body,tags
0,70257495,PostgreSQL: How can I check if table was created `WITH OIDS`?,I want to upgrade PostgreSQL database to new version of this database which doesn't support OIDS. Some of the tables was created with . I think it was by <code>default_with_oids</code> setting. Is there information if table was created <code>WITH OIDS</code> in system schema tables <code>information_schema.*</code> or in system catalog tables <code>pg_*</code> or in other placet to upgrade PostgreSQL database to new version of this database which doesn't support OIDS. Some of the tables was created with . I think it was by <code>default_with_oids</code> setting. Is there information if table was created <code>WITH OIDS</code> in system schema tables <code>information_schema.*</code> or in system catalog tables <code>pg_*</code> or in other place?,sql|postgresql
1,70081753,Check if value is not null and not empty in a select query,"I have created a function in Postgresql and specified the returned type as .
This is the code that I have tried:

But it will return NULL for &quot;data&quot; when data is NULL in the table. I was expecting it to return FALSE.
Data column is storing a JSON and I am trying to check if the stored value is not null and not empty
How can I make this code work?",postgresql
2,70028788,Host for postgresql db hosted on GCloud,"Given a postgresql database instance hosted in GCloud, I am not sure if the host to connect to it, e.g., by some SDK or app, is the public IP address, the connection name or the service account. Do some of you know?
FYI the patterns are: the IP address is the standard xxx.xxx.xxx.xxx, the connection name is project_id:region:user and the connection name is user@provider
Best regards,
Bruno Peixota postgresql database instance hosted in GCloud, I am not sure if the host to connect to it, e.g., by some SDK or app, is the public IP address, the connection name or the service account. Do some of you know?
FYI the patterns are: the IP address is the standard xxx.xxx.xxx.xxx, the connection name is project_id:region:user and the connection name is user@provider
Best regards,
Bruno Peixot a postgresql database instance hosted in GCloud, I am not sure if the host to connect to it, e.g., by some SDK or app, is the public IP address, the connection name or the service account. Do some of you know?
FYI the patterns are: the IP address is the standard xxx.xxx.xxx.xxx, the connection name is project_id:region:user and the connection name is user@provider
Best regards,
Bruno Peixota postgresql database instance hosted in GCloud, I am not sure if the host to connect to it, e.g., by some SDK or app, is the public IP address, the connection name or the service account. Do some of you know?
FYI the patterns are: the IP address is the standard xxx.xxx.xxx.xxx, the connection name is project_id:region:user and the connection name is user@provider
Best regards,
Bruno Peixoto",postgresql
3,70027637,Get rows from A table with multiple records where last record has a value of X,"I have 2 tables in mariadb
Table 1
id,did,status
Table 2 id,did,status
Table 1 can contain multiple records with the same did
So first step is I am trying to consolidate this into 1 row with the status being the highest entered id
For example if we have the following 3 rows
0, 9923323344, -1
1, 9923323344, -1
2, 9923323344, 1
Then the row I would get back is
0, 9923323344, 1
My attempt at this is
<pre class=""lang-mysql prettyprint-override""></pre>

Which gives me back wrong results for a specific example I got back
0,2078009797, -1
When I was expecting
0,2078009797, 1
The second part of this is once I have a correct list I would then like to get all of the rows out of this list that have a status of -1
<pre class=""lang-mysql prettyprint-override""><code>SELECT * FROM Table1 WHERE EXISTS (SELECT * FROM Table1 WHERE EXISTS (SELECT * FROM Table1 WHERE carrier='2' ORDER BY id DESC) GROUP BY did) AND status='-1'
</code></pre>

This also returns incorrect results as I get the following back for a specific example
0,2078009797, -1
1,2078009797, -1
2,2078009797, -1
When I was expecting
0,2078009797, 1
And then finally the last part of this is to check the list from the last query against Table2 and see if there is any rows with a status!='-1' AND did=Table1.di

Which gives me back wrong results for a specific example I got back
0,2078009797, -1
When I was expecting
0,2078009797, 1
The second part of this is once I have a correct list I would then like to get all of the rows out of this list that have a status of -1
<pre class=""lang-mysql prettyprint-override""><code>SELECT * FROM Table1 WHERE EXISTS (SELECT * FROM Table1 WHERE EXISTS (SELECT * FROM Table1 WHERE carrier='2' ORDER BY id DESC) GROUP BY did) AND status='-1'
</code></pre>

This also returns incorrect results as I get the following back for a specific example
0,2078009797, -1
1,2078009797, -1
2,2078009797, -1
When I was expecting
0,2078009797, 1
And then finally the last part of this is to check the list from the last query against Table2 and see if there is any rows with a status!='-1' AND did=Table1.did",mysql
4,70113318,Multiple MySQL authentification options,"I, I was wondering if it was possible to use multiple authentification options on a MySQL user. I tried the following CREATE USER STATEMENTS:

None of these queries ran successfully.",mysql
5,70292467,"How do i change my camp ""Tipe_of_element"" with a condition","I want my camp &quot;Tipe_of_element&quot; change with some conditions but i cant figure how to do it
<pre class=""lang-sql prettyprint-override""></pre",mysql
6,70243758,Multi-hop traverse for contact tracing considering descending temporal property values in Cypher,"I am trying to do multi-hop contact tracing in a fictive location-based social network where people can make check-ins to places. I want to find people who make check-ins to a place where a proven infected user (130314) already made check-in. I want to continue the process down the path of check-ins to find out people in the path, but in a temporally ascending order. How can I write the query in a way that middle check-ins are temporally ascending (or descending). This is the code I wrote before and the result:

<a href=""https://i.stack.imgur.com/jc5nD.png"" rel=""nofollow noreferrer"">enter image description here</a>",neo4j|cypher
7,70103094,Using json_build_object in PostgreSQL v14.x with the result of a SELECT statement,"I'm trying to create a  of a JSON object, with a varying number of key/value pairs, in PostgreSQL v14.x, from the results of a SELECT statement.
Using <code>json_agg</code> is returning an array of objects - a key of each rating possibility as they occur, and a value which is the count of all the ratings selected from a table of reviews. Instead of an array, I need an object that has multiple key/value pairs, where the value corresponds to the aggregated <code>count()</code> of the ratings column(s), grouped by product_id. Trying to reuse <code>json_build_object</code> isn't working as expected.
Using:

returns:
<pre><code>product_id | reviews_count
---------------------------
         1 | [{&quot;5&quot; : 5}, {&quot;4&quot; : 4}]
         2 | [{&quot;4&quot; : 4}, {&quot;4&quot; : 4}, {&quot;3&quot; : 3}, {&quot;5&quot; : 5}, {&quot;2&quot; : 2}]
</code></pre>
But I'm looking for:
<pre><code>product_id | reviews_count
---------------------------
         1 | {&quot;5&quot; : 1, &quot;4&quot; : 1}
         2 | {&quot;4&quot; : 2, &quot;3&quot; : 1, &quot;5&quot; : 1, &quot;2&quot; : 1}
</code></pre>
A dynamically created object:
<ul>
<li>in rows by product_id</li>
<li><em>where the values are quantities</em> of Integer ratings (1-5) as they appear in the reviews.list table</li>
<li>in an object rather than an array of objects</li>
</ul>
I am new to SQL / PL/pgSQL language.",sql|postgresql
8,70252391,"Query to get all records, which have children, but only for which the user has permission to all children?","Let say you have a set of tables like this, where you have  which can be associated with multiple <code>Account</code> strings, and <code>Users</code> which can be permissioned to multiple <code>Account</code> strings. Now what we want to do is write a query that will return all <code>Warnings</code> for a <code>User</code>, but the <code>User</code> must have a <code>UserAccountPerms</code> for every <code>Account</code> associated with the user.

One idea we've had is to add a column <code>account_count</code> to the <code>Warnings</code> table and then you would have to run two queries, one which gets for each warning the count of accounts that the user has access to, and then joins that back to the <code>Warnings</code> table to see if the count is the same. Something like:
<pre><code>SELECT *
FROM Warnings w
JOIN
(
    SELECT warning_id, IFNULL(COUNT(*),0) AS acct_perm_count
    FROM WarningAccounts wa LEFT JOIN UserAccountPerms uap ON wa.account_name = uap.account_name
    WHERE uap.user_id = X
    GROUP BY wa.warning_id
) wp ON w.warning_id = wp.warning_id
WHERE w.account_count = acct_perm_count
</code></pre>
The biggest issue with this, is that as the tables get large, and you want to filter the <code>Warnings</code> by other columns, you end up having to copy the predicate into both parts of the statement, i.e.
<pre><code>SELECT *
FROM Warnings w
JOIN
(
    SELECT warning_id, IFNULL(COUNT(*),0) AS acct_perm_count
    FROM Warnings w1 JOIN WarningAccounts wa ON w1.warning_id = wa.warning_id
    LEFT JOIN UserAccountPerms uap ON wa.account_name = uap.account_name
    WHERE 
      uap.user_id = X AND
      w1.start_time &gt; @start_time
    GROUP BY wa.warning_id
) wp ON w.warning_id = wp.warning_id
WHERE w.account_count = acct_perm_count AND
w.start_time &gt; @start_time;
</code></pre>
Because if you don't, it means you are always calculating the permissions for every single <code>Warning</code> all of the time. Any thoughts on how to do this?",mysql
9,70168949,How to access dynamic dropdown in Python,"I was doing a project which has three dropdown menu for company name,location and position and two date Picker in front end and data is store in Python list. How should I integrate it when user select specific options from dropdown menu the data should be filtered and displayed on html page in table formadoing a project which has three dropdown menu for company name,location and position and two date Picker in front end and data is store in Python list. How should I integrate it when user select specific options from dropdown menu the data should be filtered and displayed on html page in table forma doing a project which has three dropdown menu for company name,location and position and two date Picker in front end and data is store in Python list. How should I integrate it when user select specific options from dropdown menu the data should be filtered and displayed on html page in table formadoing a project which has three dropdown menu for company name,location and position and two date Picker in front end and data is store in Python list. How should I integrate it when user select specific options from dropdown menu the data should be filtered and displayed on html page in table format",google-bigquery
